id,name,status,species,type,gender,origin_name,location_name,image,url,episode_count
12,Alexander,Dead,Human,,Male,Earth (C-137),Anatomy Park,https://rickandmortyapi.com/api/character/avatar/12.jpeg,https://rickandmortyapi.com/api/character/12,1
13,Alien Googah,unknown,Alien,,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/13.jpeg,https://rickandmortyapi.com/api/character/13,1
14,Alien Morty,unknown,Alien,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/14.jpeg,https://rickandmortyapi.com/api/character/14,1
15,Alien Rick,unknown,Alien,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/15.jpeg,https://rickandmortyapi.com/api/character/15,1
16,Amish Cyborg,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/16.jpeg,https://rickandmortyapi.com/api/character/16,1
17,Annie,Alive,Human,,Female,Earth (C-137),Anatomy Park,https://rickandmortyapi.com/api/character/avatar/17.jpeg,https://rickandmortyapi.com/api/character/17,1
18,Antenna Morty,Alive,Human,Human with antennae,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/18.jpeg,https://rickandmortyapi.com/api/character/18,2
19,Antenna Rick,unknown,Human,Human with antennae,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/19.jpeg,https://rickandmortyapi.com/api/character/19,1
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/20.jpeg,https://rickandmortyapi.com/api/character/20,1
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/21.jpeg,https://rickandmortyapi.com/api/character/21,2
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/22.jpeg,https://rickandmortyapi.com/api/character/22,3
23,Arcade Alien,unknown,Alien,,Male,unknown,Immortality Field Resort,https://rickandmortyapi.com/api/character/avatar/23.jpeg,https://rickandmortyapi.com/api/character/23,5
24,Armagheadon,Alive,Alien,Cromulon,Male,Signus 5 Expanse,Signus 5 Expanse,https://rickandmortyapi.com/api/character/avatar/24.jpeg,https://rickandmortyapi.com/api/character/24,1
25,Armothy,Dead,unknown,Self-aware arm,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/25.jpeg,https://rickandmortyapi.com/api/character/25,1
26,Arthricia,Alive,Alien,Cat-Person,Female,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/26.jpeg,https://rickandmortyapi.com/api/character/26,1
27,Artist Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/27.jpeg,https://rickandmortyapi.com/api/character/27,2
28,Attila Starwar,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/28.jpeg,https://rickandmortyapi.com/api/character/28,3
29,Baby Legs,Alive,Human,Human with baby legs,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/29.jpeg,https://rickandmortyapi.com/api/character/29,1
30,Baby Poopybutthole,Alive,Poopybutthole,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/30.jpeg,https://rickandmortyapi.com/api/character/30,1
31,Baby Wizard,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/31.jpeg,https://rickandmortyapi.com/api/character/31,1
32,Bearded Lady,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/32.jpeg,https://rickandmortyapi.com/api/character/32,1
33,Beebo,Dead,Alien,,Male,Venzenulon 7,Venzenulon 7,https://rickandmortyapi.com/api/character/avatar/33.jpeg,https://rickandmortyapi.com/api/character/33,1
34,Benjamin,Alive,Poopybutthole,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/34.jpeg,https://rickandmortyapi.com/api/character/34,3
35,Bepisian,Alive,Alien,Bepisian,unknown,Bepis 9,Bepis 9,https://rickandmortyapi.com/api/character/avatar/35.jpeg,https://rickandmortyapi.com/api/character/35,4
36,Beta-Seven,Alive,Alien,Hivemind,unknown,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/36.jpeg,https://rickandmortyapi.com/api/character/36,1
37,Beth Sanchez,Alive,Human,,Female,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/37.jpeg,https://rickandmortyapi.com/api/character/37,1
38,Beth Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/38.jpeg,https://rickandmortyapi.com/api/character/38,8
39,Beth Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/39.jpeg,https://rickandmortyapi.com/api/character/39,1
40,Beth's Mytholog,Dead,Mythological Creature,Mytholog,Female,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/40.jpeg,https://rickandmortyapi.com/api/character/40,1
41,Big Boobed Waitress,Alive,Mythological Creature,,Female,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/41.jpeg,https://rickandmortyapi.com/api/character/41,1
42,Big Head Morty,unknown,Human,Human with giant head,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/42.jpeg,https://rickandmortyapi.com/api/character/42,1
43,Big Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/43.jpeg,https://rickandmortyapi.com/api/character/43,1
44,Body Guard Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/44.jpeg,https://rickandmortyapi.com/api/character/44,1
45,Bill,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/45.jpeg,https://rickandmortyapi.com/api/character/45,1
46,Bill,unknown,Animal,Dog,Male,Earth (Replacement Dimension),unknown,https://rickandmortyapi.com/api/character/avatar/46.jpeg,https://rickandmortyapi.com/api/character/46,1
47,Birdperson,Alive,Alien,Bird-Person,Male,Bird World,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/47.jpeg,https://rickandmortyapi.com/api/character/47,7
48,Black Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/48.jpeg,https://rickandmortyapi.com/api/character/48,2
49,Blamph,Alive,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/49.jpeg,https://rickandmortyapi.com/api/character/49,1
50,Blim Blam,Alive,Alien,Korblock,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/50.jpeg,https://rickandmortyapi.com/api/character/50,1
51,Blue Diplomat,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/51.jpeg,https://rickandmortyapi.com/api/character/51,1
52,Blue Footprint Guy,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/52.jpeg,https://rickandmortyapi.com/api/character/52,1
53,Blue Shirt Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/53.jpeg,https://rickandmortyapi.com/api/character/53,1
54,Bobby Moynihan,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/54.jpeg,https://rickandmortyapi.com/api/character/54,1
55,Boobloosian,Dead,Alien,Boobloosian,unknown,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/55.jpeg,https://rickandmortyapi.com/api/character/55,2
56,Bootleg Portal Chemist Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/56.jpeg,https://rickandmortyapi.com/api/character/56,1
57,Borpocian,Alive,Alien,Elephant-Person,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/57.jpeg,https://rickandmortyapi.com/api/character/57,1
58,Brad,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/58.jpeg,https://rickandmortyapi.com/api/character/58,4
59,Brad Anderson,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/59.jpeg,https://rickandmortyapi.com/api/character/59,1
60,Calypso,Dead,Human,Superhuman,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/60.jpeg,https://rickandmortyapi.com/api/character/60,1
61,Campaign Manager Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/61.jpeg,https://rickandmortyapi.com/api/character/61,1
62,Canklanker Thom,Dead,Alien,Gromflomite,Male,Gromflom Prime,unknown,https://rickandmortyapi.com/api/character/avatar/62.jpeg,https://rickandmortyapi.com/api/character/62,1
63,Centaur,Alive,Mythological Creature,Centaur,Male,unknown,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/63.jpeg,https://rickandmortyapi.com/api/character/63,1
64,Chris,Dead,Alien,Organic gun,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/64.jpeg,https://rickandmortyapi.com/api/character/64,1
65,Chris,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,Rick's Battery Microverse,https://rickandmortyapi.com/api/character/avatar/65.jpeg,https://rickandmortyapi.com/api/character/65,1
66,Coach Feratu (Balik Alistane),Dead,Mythological Creature,Vampire,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/66.jpeg,https://rickandmortyapi.com/api/character/66,1
67,Collector,Alive,Alien,Light bulb-Alien,Male,The Menagerie,The Menagerie,https://rickandmortyapi.com/api/character/avatar/67.jpeg,https://rickandmortyapi.com/api/character/67,1
68,Colossus,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/68.jpeg,https://rickandmortyapi.com/api/character/68,1
69,Commander Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/69.jpeg,https://rickandmortyapi.com/api/character/69,1
70,Concerto,Dead,Humanoid,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/70.jpeg,https://rickandmortyapi.com/api/character/70,1
71,Conroy,Dead,Robot,,unknown,Earth (Replacement Dimension),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/71.jpeg,https://rickandmortyapi.com/api/character/71,1
72,Cool Rick,Alive,Human,,Male,Earth (K-83),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/72.jpeg,https://rickandmortyapi.com/api/character/72,1
73,Cop Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/73.jpeg,https://rickandmortyapi.com/api/character/73,1
74,Cop Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/74.jpeg,https://rickandmortyapi.com/api/character/74,1
75,Courier Flap,Alive,Alien,,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/75.jpeg,https://rickandmortyapi.com/api/character/75,1
76,Cousin Nicky,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/76.jpeg,https://rickandmortyapi.com/api/character/76,1
77,Cowboy Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/77.jpeg,https://rickandmortyapi.com/api/character/77,1
78,Cowboy Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/78.jpeg,https://rickandmortyapi.com/api/character/78,2
79,Crab Spider,Alive,Alien,Animal,unknown,Hideout Planet,Hideout Planet,https://rickandmortyapi.com/api/character/avatar/79.jpeg,https://rickandmortyapi.com/api/character/79,1
80,Creepy Little Girl,Alive,Human,,Female,unknown,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/80.jpeg,https://rickandmortyapi.com/api/character/80,1
81,Crocubot,Dead,Animal,Robot-Crocodile hybrid,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/81.jpeg,https://rickandmortyapi.com/api/character/81,1
82,Cronenberg Rick,unknown,Cronenberg,,Male,Cronenberg Earth,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/82.jpeg,https://rickandmortyapi.com/api/character/82,2
83,Cronenberg Morty,unknown,Cronenberg,,Male,Cronenberg Earth,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/83.jpeg,https://rickandmortyapi.com/api/character/83,2
84,Cult Leader Morty,Alive,Human,,Male,unknown,Hideout Planet,https://rickandmortyapi.com/api/character/avatar/84.jpeg,https://rickandmortyapi.com/api/character/84,1
85,Cyclops Morty,Alive,Humanoid,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/85.jpeg,https://rickandmortyapi.com/api/character/85,2
86,Cyclops Rick,Dead,Humanoid,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/86.jpeg,https://rickandmortyapi.com/api/character/86,3
87,Cynthia,Dead,Alien,Zigerion,Female,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/87.jpeg,https://rickandmortyapi.com/api/character/87,1
88,Cynthia,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/88.jpeg,https://rickandmortyapi.com/api/character/88,4
89,Dale,Dead,Mythological Creature,Giant,Male,Giant's Town,Giant's Town,https://rickandmortyapi.com/api/character/avatar/89.jpeg,https://rickandmortyapi.com/api/character/89,1
90,Daron Jefferson,Alive,Alien,Cone-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/90.jpeg,https://rickandmortyapi.com/api/character/90,1
91,David Letterman,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/91.jpeg,https://rickandmortyapi.com/api/character/91,1
92,Davin,Dead,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/92.jpeg,https://rickandmortyapi.com/api/character/92,2
93,Diablo Verde,Dead,Mythological Creature,Demon,Male,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/93.jpeg,https://rickandmortyapi.com/api/character/93,1
94,Diane Sanchez,Dead,Human,,Female,Earth (C-137),Rick's Memories,https://rickandmortyapi.com/api/character/avatar/94.jpeg,https://rickandmortyapi.com/api/character/94,2
95,Dipper and Mabel Mortys,unknown,Human,,unknown,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/95.jpeg,https://rickandmortyapi.com/api/character/95,1
96,Tuberculosis,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/96.jpeg,https://rickandmortyapi.com/api/character/96,1
97,Gonorrhea,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/97.jpeg,https://rickandmortyapi.com/api/character/97,1
98,Hepatitis A,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/98.jpeg,https://rickandmortyapi.com/api/character/98,1
99,Hepatitis C,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/99.jpeg,https://rickandmortyapi.com/api/character/99,1
100,Bubonic Plague,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/100.jpeg,https://rickandmortyapi.com/api/character/100,1
101,E. Coli,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/101.jpeg,https://rickandmortyapi.com/api/character/101,1
102,Donna Gueterman,Dead,Robot,,Female,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/102.jpeg,https://rickandmortyapi.com/api/character/102,1
103,Doofus Rick,unknown,Human,,Male,Earth (J19ζ7),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/103.jpeg,https://rickandmortyapi.com/api/character/103,2
104,Doom-Nomitron,Dead,Alien,Shapeshifter,unknown,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/104.jpeg,https://rickandmortyapi.com/api/character/104,1
105,Dr. Glip-Glop,Dead,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/105.jpeg,https://rickandmortyapi.com/api/character/105,1
106,Dr. Schmidt,unknown,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/106.jpeg,https://rickandmortyapi.com/api/character/106,1
107,Dr. Wong,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/107.jpeg,https://rickandmortyapi.com/api/character/107,2
108,Dr. Xenon Bloom,Dead,Humanoid,Amoeba-Person,Male,unknown,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/108.jpeg,https://rickandmortyapi.com/api/character/108,1
109,Duck With Muscles,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/109.jpeg,https://rickandmortyapi.com/api/character/109,1
110,Eli,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/110.jpeg,https://rickandmortyapi.com/api/character/110,1
111,Eli's Girlfriend,Alive,Human,,Female,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/111.jpeg,https://rickandmortyapi.com/api/character/111,1
112,Eric McMan,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/112.jpeg,https://rickandmortyapi.com/api/character/112,1
113,Eric Stoltz Mask Morty,unknown,Human,,Male,Eric Stoltz Mask Earth,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/113.jpeg,https://rickandmortyapi.com/api/character/113,1
114,Ethan,unknown,Human,Cronenberg,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/114.jpeg,https://rickandmortyapi.com/api/character/114,1
115,Ethan,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/115.jpeg,https://rickandmortyapi.com/api/character/115,2
116,Evil Beth Clone,Dead,Human,Clone,Female,unknown,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/116.jpeg,https://rickandmortyapi.com/api/character/116,1
117,Evil Jerry Clone,Dead,Human,Clone,Male,unknown,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/117.jpeg,https://rickandmortyapi.com/api/character/117,1
118,Evil Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/118.jpeg,https://rickandmortyapi.com/api/character/118,3
119,Evil Rick,Dead,Humanoid,Robot,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/119.jpeg,https://rickandmortyapi.com/api/character/119,1
120,Evil Summer Clone,Dead,Human,Clone,Female,unknown,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/120.jpeg,https://rickandmortyapi.com/api/character/120,1
121,Eyehole Man,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/121.jpeg,https://rickandmortyapi.com/api/character/121,1
122,Fart,Dead,Alien,Interdimensional gaseous being,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/122.jpeg,https://rickandmortyapi.com/api/character/122,1
123,Fat Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/123.jpeg,https://rickandmortyapi.com/api/character/123,1
124,Father Bob,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/124.jpeg,https://rickandmortyapi.com/api/character/124,2
125,Flansian,Alive,Alien,Flansian,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/125.jpeg,https://rickandmortyapi.com/api/character/125,3
126,Fleeb,unknown,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/126.jpeg,https://rickandmortyapi.com/api/character/126,1
127,Frank Palicky,Dead,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/127.jpeg,https://rickandmortyapi.com/api/character/127,1
128,Frankenstein's Monster,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/128.jpeg,https://rickandmortyapi.com/api/character/128,1
129,Fulgora,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/129.jpeg,https://rickandmortyapi.com/api/character/129,3
130,Galactic Federation President,Dead,Alien,Gromflomite,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/130.jpeg,https://rickandmortyapi.com/api/character/130,1
131,Gar Gloonch,Dead,Alien,Zombodian,Male,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/131.jpeg,https://rickandmortyapi.com/api/character/131,3
132,Gar's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/132.jpeg,https://rickandmortyapi.com/api/character/132,1
133,Garblovian,Alive,Alien,Garblovian,Male,Glaagablaaga,unknown,https://rickandmortyapi.com/api/character/avatar/133.jpeg,https://rickandmortyapi.com/api/character/133,3
134,Garmanarnar,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/134.jpeg,https://rickandmortyapi.com/api/character/134,1
135,Garment District Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/135.jpeg,https://rickandmortyapi.com/api/character/135,1
136,Gazorpazorpfield,Alive,Alien,Gazorpian,Male,Gazorpazorp,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/136.jpeg,https://rickandmortyapi.com/api/character/136,2
137,Gene,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/137.jpeg,https://rickandmortyapi.com/api/character/137,2
138,General Nathan,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/138.jpeg,https://rickandmortyapi.com/api/character/138,1
139,General Store Owner,Dead,Alien,Cat-Person,Male,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/139.jpeg,https://rickandmortyapi.com/api/character/139,1
140,Genital Washer,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/140.jpeg,https://rickandmortyapi.com/api/character/140,1
141,Ghost in a Jar,Dead,Alien,Parasite,Genderless,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/141.jpeg,https://rickandmortyapi.com/api/character/141,1
142,Gibble Snake,Dead,Alien,Animal,unknown,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/142.jpeg,https://rickandmortyapi.com/api/character/142,1
143,Glasses Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/143.jpeg,https://rickandmortyapi.com/api/character/143,1
144,Glenn,Dead,Alien,Gromflomite,Male,unknown,Interdimensional Customs,https://rickandmortyapi.com/api/character/avatar/144.jpeg,https://rickandmortyapi.com/api/character/144,1
145,Glenn,Alive,Human,Eat shiter-Person,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/145.jpeg,https://rickandmortyapi.com/api/character/145,1
146,Glexo Slim Slom,Alive,Alien,,Male,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/146.jpeg,https://rickandmortyapi.com/api/character/146,1
147,Gobo,Dead,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/147.jpeg,https://rickandmortyapi.com/api/character/147,1
148,Goddess Beth,unknown,Mythological Creature,Goddess,Female,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/148.jpeg,https://rickandmortyapi.com/api/character/148,1
149,Gordon Lunas,Dead,Human,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/149.jpeg,https://rickandmortyapi.com/api/character/149,1
150,Cornvelious Daniel,Dead,Alien,Gromflomite,Male,unknown,Galactic Federation Prison,https://rickandmortyapi.com/api/character/avatar/150.jpeg,https://rickandmortyapi.com/api/character/150,1
151,Gwendolyn,unknown,Robot,Gazorpian reproduction robot,Female,Gazorpazorp,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/151.jpeg,https://rickandmortyapi.com/api/character/151,1
152,Hammerhead Morty,unknown,Humanoid,Hammerhead-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/152.jpeg,https://rickandmortyapi.com/api/character/152,2
153,Hamster In Butt,Alive,Animal,,unknown,Hamster in Butt World,Hamster in Butt World,https://rickandmortyapi.com/api/character/avatar/153.jpeg,https://rickandmortyapi.com/api/character/153,2
154,Hamurai,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/154.jpeg,https://rickandmortyapi.com/api/character/154,1
155,Harold,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/155.jpeg,https://rickandmortyapi.com/api/character/155,1
